"","Chunk","ChunkHash","B"
"1",".htaccess",1,-8.01035958891978
"2",".net",2,-3.36147489247532
"3",".net-2.0",3,-8.01035958891978
"4",".net-3.5",4,-5.60913873939504
"5","64bit",5,-7.31688034792179
"6","abap",6,-8.01035958891978
"7","account",7,-7.31688034792179
"8","actionscript-3",8,-5.70478197498928
"9","active-directory",9,-8.01035958891978
"10","activemq",10,-8.01035958891978
"11","activerecord",11,-8.01035958891978
"12","address-bar",12,-8.01035958891978
"13","ado.net",13,-7.31688034792179
"14","adobe",14,-8.01035958891978
"15","adsl",15,-8.01035958891978
"16","agile",16,-7.31688034792179
"17","air",17,-6.06245542125761
"18","aix",18,-8.01035958891978
"19","ajax",19,-5.92859130528947
"20","algorithm",20,-5.70478197498928
"21","alt.net",21,-8.01035958891978
"22","anchor",22,-8.01035958891978
"23","animation",23,-8.01035958891978
"24","annotations",24,-8.01035958891978
"25","ansi",25,-8.01035958891978
"26","ant",26,-7.31688034792179
"27","aop",27,-8.01035958891978
"28","apache",28,-5.92859130528947
"29","api",29,-7.31688034792179
"30","apple-touch-icon",30,-7.31688034792179
"31","applet",31,-8.01035958891978
"32","application",32,-6.39959277263563
"33","application-advice",33,-8.01035958891978
"34","application-integration",34,-8.01035958891978
"35","aptana",35,-8.01035958891978
"36","architecture",36,-6.39959277263563
"37","archive",37,-8.01035958891978
"38","arrays",38,-6.21693871376047
"39","article",39,-7.31688034792179
"40","artificial-intelligence",40,-7.31688034792179
"41","ascii",41,-8.01035958891978
"42","ase",42,-8.01035958891978
"43","asmx",43,-8.01035958891978
"44","asp-classic",44,-6.39959277263563
"45","asp.net",45,-3.89623231952182
"46","asp.net-ajax",46,-7.31688034792179
"47","asp.net-mvc",47,-5.70478197498928
"48","assemblies",48,-8.01035958891978
"49","assembly",49,-7.31688034792179
"50","audio",50,-7.31688034792179
"51","audit",51,-8.01035958891978
"52","authentication",52,-6.06245542125761
"53","autoboxing",53,-7.31688034792179
"54","autocomplete",54,-8.01035958891978
"55","autoconf",55,-8.01035958891978
"56","automake",56,-8.01035958891978
"57","awk",57,-8.01035958891978
"58","backup",58,-7.31688034792179
"59","backwards-compatibility",59,-8.01035958891978
"60","base64",60,-8.01035958891978
"61","bash",61,-6.06245542125761
"62","bayesian",62,-8.01035958891978
"63","bcp",63,-8.01035958891978
"64","bdd",64,-7.31688034792179
"65","benchmarking",65,-8.01035958891978
"66","berkeley-db",66,-8.01035958891978
"67","beta",67,-8.01035958891978
"68","big-o",68,-8.01035958891978
"69","binary",69,-7.31688034792179
"70","binary-log",70,-8.01035958891978
"71","binding",71,-8.01035958891978
"72","blob",72,-8.01035958891978
"73","blogs",73,-8.01035958891978
"74","books",74,-5.52179419565237
"75","boot",75,-8.01035958891978
"76","breaks",76,-7.31688034792179
"77","browser",77,-5.81047543554781
"78","buffer-overflow",78,-8.01035958891978
"79","build-automation",79,-6.62306871551015
"80","build-process",80,-6.62306871551015
"81","business-logic-layer",81,-8.01035958891978
"82","button",82,-6.91108306907481
"83","c",83,-5.00829923429871
"84","c#",84,-3.18255756219409
"85","c++",85,-4.70585311209481
"86","caching",86,-6.91108306907481
"87","cairngorm",87,-8.01035958891978
"88","captcha",88,-8.01035958891978
"89","career-development",89,-6.39959277263563
"90","casting",90,-8.01035958891978
"91","caucho",91,-8.01035958891978
"92","certification",92,-8.01035958891978
"93","challenge",93,-7.31688034792179
"94","charts",94,-8.01035958891978
"95","checkbox",95,-8.01035958891978
"96","chm",96,-6.91108306907481
"97","cisvc",97,-7.31688034792179
"98","cli",98,-8.01035958891978
"99","clickonce",99,-8.01035958891978
"100","client-scripting",100,-7.31688034792179
"101","clipboard",101,-8.01035958891978
"102","cloud",102,-8.01035958891978
"103","clr",103,-8.01035958891978
"104","cls",104,-8.01035958891978
"105","cls-compliant",105,-8.01035958891978
"106","cluster-analysis",106,-8.01035958891978
"107","cmd",107,-8.01035958891978
"108","cmdlets",108,-8.01035958891978
"109","cmmi",109,-8.01035958891978
"110","cocoa",110,-7.31688034792179
"111","code",111,-7.31688034792179
"112","code-completion",112,-7.31688034792179
"113","code-coverage",113,-7.31688034792179
"114","code-reuse",114,-8.01035958891978
"115","code-review",115,-6.39959277263563
"116","code-snippets",116,-8.01035958891978
"117","coding",117,-8.01035958891978
"118","coding-style",118,-7.31688034792179
"119","coldfusion",119,-7.31688034792179
"120","colemak",120,-8.01035958891978
"121","collaboration",121,-6.91108306907481
"122","collections",122,-8.01035958891978
"123","color-space",123,-8.01035958891978
"124","colors",124,-6.39959277263563
"125","columns",125,-8.01035958891978
"126","com",126,-8.01035958891978
"127","com-interop",127,-8.01035958891978
"128","command-line",128,-8.01035958891978
"129","comments",129,-8.01035958891978
"130","communities",130,-6.91108306907481
"131","community-server",131,-7.31688034792179
