posts_id,Body,tags,title
4,"<p>I'm new to C#, and I want to use a track-bar to change a form's opacity.</p>

<p>This is my code:</p>

<pre><code>decimal trans = trackBar1.Value / 5000
this.Opacity = trans
</code></pre>

<p>When I try to build it, I get this error:</p>

<blockquote>
  <p>Cannot implicitly convert type 'decimal' to 'double'</p>
</blockquote>

<p>I tried making <code>trans</code> a double, but then the control doesn't work. This code worked fine for me in VB.NET. </p>

<p>What do I need to do differently?</p>
",<c#>,"When setting a form's opacity should I use a decimal or double?"
6,"<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a percentage-based width on the child <code>div</code>, it collapses to <code>0</code> width on IE7, but not on Firefox or Safari. </p>

<p>If I use pixel width, it works. If the parent is relatively positioned, the percentage width on the child works. </p>

<p>Is there something I'm missing here? </p>

<p>Is there an easy fix besides the pixel-based width on the child? </p>

<p>Is there an area of the CSS specification that covers this?</p>
",<html><css><internet-explorer-7>,"Why doesn't the percentage width child in absolutely positioned parent work in IE7?"
8,"<p>Are there any conversion tools for porting Visual J# code to C#?</p>
",<c#><conversion><j#>,"Are there any conversion tools for porting Visual J# code to C#?"
9,"<p>Given a DateTime representing their birthday, how do I calculate someone's age?  </p>
",<c#><datetime>,"How do I calculate someone's age in C#?"
11,"<p>Given a specific <code>DateTime</code> value, how do I display relative time, like</p>

<ul>
<li>2 hours ago</li>
<li>3 days ago</li>
<li>a month ago</li>
</ul>

<p>etc, etc...?</p>
",<c#><.net><datetime><timespan>,"How do I calculate relative time?"
13,"<p>Is there a standard way for a web server to determine what time zone offset a user is in?<br />
From an HTTP header or part of the user-agent description, perhaps?</p>
",<html><browser><time><timezone>,"How can I determine a web user's time zone?"
14,"<p>What is the difference between <code>Math.Floor()</code> and <code>Math.Truncate()</code> in C#?</p>
",<c#><math>,"What's the difference between Math.Floor() and Math.Truncate() in .NET?"
16,"<p>How do you expose a LINQ query as an ASMX web service? Usually, from the business tier, I can return a typed DataSet or DataTable which can be serialized for transport over ASMX.</p>

<p>How can I do the same for a LINQ query? Is there a way to populate a typed DataSet or DataTable via a LINQ query?: </p>

<pre><code>public static MyDataTable CallMySproc()    
{    
string conn = ...;

MyDatabaseDataContext db = new MyDatabaseDataContext(conn);    
MyDataTable dt = new MyDataTable();

// execute a sproc via LINQ
var query = from dr in db.MySproc().AsEnumerable
select dr;

// copy LINQ query resultset into a DataTable -this does not work !    
dt = query.CopyToDataTable();

return dt;
}
</code></pre>

<p>How can I get the resultset of a LINQ query into a DataSet or DataTable? Alternatively, is the LINQ query serializeable so that I can expose it as an ASMX web service?</p>",<c#><linq><web-services><.net-3.5>,"How do I fill a DataSet or a DataTable from a LINQ query resultset ?"
17,"<p>How do I store binary data in <a href=""http://en.wikipedia.org/wiki/MySQL"" rel=""nofollow"">MySQL</a>?</p>
",<mysql><database>,"Binary Data in MySQL"
19,"<p>Solutions welcome in any language. :-) I'm looking for the fastest way to obtain the value of pi, as a personal challenge. More specifically I'm using ways that don't involve using <code>#define</code>d constants like <code>M_PI</code>, or hard-coding the number in.</p>

<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable; I've included it as a baseline to compare the other versions against. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>

<p>Here's the main testing program (<code>pitimes.c</code>):</p>

<pre><code>#include &lt;math.h&gt;
#include &lt;stdio.h&gt;
#include &lt;time.h&gt;

#define ITERS 10000000
#define TESTWITH(x) {                                                       \
    diff = 0.0;                                                             \
    time1 = clock();                                                        \
    for (i = 0; i &lt; ITERS; ++i)                                             \
        diff += (x) - M_PI;                                                 \
    time2 = clock();                                                        \
    printf(""%s\t=&gt; %e, time =&gt; %f\n"", #x, diff, diffclock(time2, time1));   \
}

static inline double
diffclock(clock_t time1, clock_t time0)
{
    return (double) (time1 - time0) / CLOCKS_PER_SEC;
}

int
main()
{
    int i;
    clock_t time1, time2;
    double diff;

    /* Warmup. The atan2 case catches GCC's atan folding (which would
     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin
     * is not used. */
    TESTWITH(4 * atan(1))
    TESTWITH(4 * atan2(1, 1))

#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))
    extern double fldpi();
    TESTWITH(fldpi())
#endif

    /* Actual tests start here. */
    TESTWITH(atan2(0, -1))
    TESTWITH(acos(-1))
    TESTWITH(2 * asin(1))
    TESTWITH(4 * atan2(1, 1))
    TESTWITH(4 * atan(1))

    return 0;
}
</code></pre>

<p>And the inline assembly stuff (<code>fldpi.c</code>), noting that it will only work for x86 and x64 systems:</p>

<pre><code>double
fldpi()
{
    double pi;
    asm(""fldpi"" : ""=t"" (pi));
    return pi;
}
</code></pre>

<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>

<pre><code>#!/bin/sh
gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c
gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c

gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o
gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm
</code></pre>

<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the optimisations are different), I've also tried switching the order of the tests around. The <code>atan2(0, -1)</code> version still comes out top every time, though.</p>

<p>I'm keen to hear what results you have, as well as improvements to the testing process. :-)</p>
",<performance><algorithm><language-agnostic><unix><pi>,"Fastest way to get value of pi"
23,"<p>I'm trying to track the progress of PHP 5.3 and PHP 6 and I occassionally see blogs posting information but there doesn't seem to be an authoritative source.  Does anybody know where there is an official summary of possible new features?</p>

<p>EDIT: There are some meeting notes that have been around for years... as far as I can tell this meeting has long since been superceded and nearly all of the other information out there is based entirely on that meeting.</p>

<p>I'm more looking for where the PHP developers themselves record the changes that they are currently making rather than the long-term vision.</p>
",<php>,"Latest information on PHP upcoming releases"
24,"<p>If I have a trigger BEFORE UPDATE on a table. How can I throw an error that prevents the update on that table?</p>",<mysql><database><triggers>,"Throw Error In MySQL Trigger"
25,"<p>I've been having issues getting the C sockets API to work properly in C++. Specifically, although I am including sys/socket.h, I still get compile time errors telling me that AF_INET is not defined. Am I missing something obvious, or could this be related to the fact that I'm doing this coding on z/OS and my problems are much more complicated? ;)</p>",<c++><c><sockets><mainframe><zos>,"How to use the C socket API in C++ on z/OS"
34,"<p>Does anyone know how to forcefully unload a ByteArray from memory in AS3?</p>

<p>I have tried (without success):</p>

<pre><code><br>byteArray.length = 0;<br>byteArray = new ByteArray();<br><br>and<br><br>for ( var i:int=0; i&lt;byteArray.length; i++ ) {<br>    byteArray[i] = null;<br>}<br></code></pre>

<p>Any ideas?</p>",<flex><actionscript-3>,"Unloading a ByteArray in Actionscript 3."
36,"<p>How can I monitor a MSSQL database for changes to a table without using triggers or modifying the structure of the database in any way?  My preferred programming environment is .Net and C#</p>

<p>(edits)</p>

<p>I'd like to support MS SQL 2000 SP4 or higher</p>

<p>by ""changes to a table"" I mean changes to table data, not changes to table structure.</p>

<p>Ultimately, I would like the change to trigger an event in my application, instead of having to check for changes at an interval.</p>
",<sql-server><datatable>,"Check for changes to a SQL table?"
39,"<p>I am aware in dot net there are three timer types (see <a href=""http://msdn.microsoft.com/en-us/magazine/cc164015.aspx"" rel=""nofollow"">http://msdn.microsoft.com/en-us/magazine/cc164015.aspx</a>). I have chosen a the threaded timer as the other types can drift if the main thread is busy and I need this to be reliable.</p>

<p>The way this timer works in the control of the timer is put on another thread so it can always tick along with the work begin completed on the parent thread when it is not busy.</p>

<p>The issue I have is that with this timer in a console application is that while the timer is ticking along on another thread the main thread is not doing anything so the app closes.</p>

<p>I tried adding a while true loop but then the main thread is too busy when the timer does go off.</p>

<p>Any ideas welcome.</p>",<c#><.net><vb.net><timer>,"Reliable Timer in a Console Application"
42,"<p>I am starting a new web application in PHP and I this time around I want to create something that people can extend by using a plug-in interface.  I am a very confident PHP developer however I have never done this before so I'm not really sure where to start.  How does one go about writing 'hooks' into their code so that plug-ins can attach to specific events?</p>
",<php><architecture><plugins>,"Best way to allow plugins for a PHP application"
48,"<p>Let's say you create a Wizard in an HTML form.  One button goes back and one goes forward.  Since the ""back"" button appears first in the markup, when you press Enter it will use that button to submit the form. </p>

<p>Ex:</p>

<pre><code>&lt;form&gt;<br>   &lt;input type=""text"" name=""field1"" /&gt; &lt;!-- put your cursor in this field and press Enter --&gt;<br><br>   &lt;input type=""submit"" name=""prev"" value=""Previous Page"" /&gt; &lt;!-- This is the button that will submit --&gt;<br>   &lt;input type=""submit"" name=""next"" value=""Next Page"" /&gt; &lt;!-- But this is the button that I WANT to submit --&gt;<br>&lt;/form&gt;<br></code></pre>

<p>What I would LIKE to do, is get to decide which button is used to submit the form when a user presses Enter.  That way, when you press Enter the Wizard will move to the next page, not the previous.  Do you have to use tabindex to do this?</p>",<html><form-submit>,"Multiple submit buttons on a HTML form"
59,"<P>Lets say I have a DataTable with a Name column. I want to have a collection of the unique names ordered alphabetically. The following query ignores the order by clause.</P>var names = (from DataRow dr in dataTable.Rows<BR>             orderby (string)dr[""Name""]<BR>             select (string)dr[""Name""]).Distinct();<BR>
<P>Why does the orderby not get enforced?</P>",<c#><linq><.net-3.5>,"How do I get a distinct, ordered list of names from a DataTable using Linq"
61,"<p>Where could I find a list of mime types and identifying characters for office 2007 files. I have an upload form that is restricting uploads based on extension and identifying characters but I cannot seem to find the Office 2007 mime types.</p>
",<office-2007><filetypes>,"Office 2007 File Type, Mime Types and Identifying Characters"
66,"<p>How do you page through a collection in LINQ given that you have a startIndex and a count?</p>",<linq><.net-3.5>,"How do you page a collection with LINQ?"
72,"<p>I've got all these comments that I want to make into 'RDoc comments' so they can be formatted appropriately and viewed using 'Ri.'  Can anyone get me started on understanding how to use RDoc?</p>",<ruby><rdoc>,"How do I add existing comments to RDoc in Ruby?"
79,"<p>The version of Subclipse (1.2.4) currently available through Aptana's automagic Plugins Manager does not work with the newest version of Subversion.</p>

<p>I see on the Subclipse website however that they have 1.4.2 out for Eclipse. So I added a new remote update site:</p>

<p>http://subclipse.tigris.org/update_1.4.x</p>

<p>to my Update manager. When I tried to install it, it told me I needed Mylyn 3.0.0. So I after much searching I found Mylyn 3.0.0 and added another new remote update site:</p>

<p>http://download.eclipse.org/tools/mylyn/update/e3.3</p>

<p>to my update manager. Then when I tried to install that, it told me I needed org.eclipse.ui 3.3.0 or equivalent.</p>

<p>Looking at the configuration details for Aptana, it looks like it is built against eclipse 3.2.2.</p>

<p>Does anyone know if there is a way to upgrade the version of Eclipse Aptana is built against to 3.3.0? Or if there is some other way to get Subclipse to work with the very newest version of Subversion?</p>

<p>I know this isn't necessarily a ""programming"" question, but I hope it's ok since it's highly relevant to the programming experience...</p>",<eclipse><svn><aptana><subclipse>,"How can you get Subclipse in Aptana to work with the newest release of Subversion?"
