Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"3","windows-forms","winforms","2010-07-14 06:34:55","23354","437","2012-12-02 20:12:01","0","23354","2010-07-14 06:34:55"
"4","csharp","c#","2010-07-14 22:30:03","17174","1183","2012-12-07 16:00:42","0","17174","2010-07-14 22:30:03"
"5","c-sharp","c#","2010-07-14 22:30:24","17174","78","2012-11-15 02:13:44","0","17174","2010-07-14 22:30:24"
"6","sqlserver","sql-server","2010-07-14 22:30:48","17174","2852","2012-12-08 06:38:46","0","17174","2010-07-14 22:30:48"
"7","hg","mercurial","2010-07-15 22:46:06","17174","683","2012-12-07 00:41:04","0","17174","2010-07-15 22:46:06"
"9","dotnet",".net","2010-07-16 00:02:29","17174","453","2012-12-05 12:58:02","0","17174","2010-07-16 00:02:29"
"10","threading","multithreading","2010-07-16 00:04:00","17174","1546","2012-12-09 02:09:27","0","17174","2010-07-16 00:04:00"
"11","multithread","multithreading","2010-07-16 00:04:21","17174","134","2012-12-08 04:42:13","0","17174","2010-07-16 00:04:21"
"12","multi-threading","multithreading","2010-07-16 00:05:16","17174","62","2012-11-19 04:20:37","0","17174","2010-07-16 00:05:16"
"13","rails","ruby-on-rails","2010-07-16 00:06:30","17174","19751","2012-12-09 04:05:55","0","17174","2010-07-16 00:06:30"
"14","js","javascript","2010-07-16 00:07:56","13531","3799","2012-12-08 17:19:34","0","13531","2010-07-16 00:07:56"
"15","vc++","visual-c++","2010-07-16 00:11:44","17174","1575","2012-12-06 00:26:27","0","17174","2010-07-16 00:11:44"
"17","ipaddress","ip-address","2010-07-16 00:15:33","17174","115","2012-11-30 20:14:45","0","17174","2010-07-16 00:15:33"
"18","source-control","version-control","2010-07-16 00:17:21","17174","280","2012-12-04 13:26:37","0","17174","2010-07-16 00:17:21"
"19","blog","blogs","2010-07-16 00:18:16","17174","404","2012-12-03 09:02:50","0","17174","2010-07-16 00:18:16"
"21","ui","user-interface","2010-07-16 00:24:40","17174","2255","2012-12-08 19:16:24","0","17174","2010-07-16 00:24:40"
"22","vs2008","visual-studio-2008","2010-07-16 00:25:49","17174","977","2012-12-07 14:18:16","0","17174","2010-07-16 00:25:49"
