"","ChunkHash","Activation"
"1",15,-3.03568237991831
"2",73,-3.2292089196835
"3",386,-3.70854098523847
"4",132,-3.95933687929209
"5",193,-4.02337814778168
"6",142,-4.0294548086414
"7",148,-4.06873535223936
"8",190,-4.28186512420725
"9",400,-4.31688017560157
"10",698,-4.34613826444133
"11",366,-4.29539341124293
"12",772,-4.40165908535647
"13",298,-4.49327005963489
"14",1520,-4.52894326322959
"15",130,-4.65190210506791
"16",168,-4.7099050874284
"17",31,-4.15777110042577
"18",81,-4.52067111767123
"19",277,-4.79022310710452
"20",140,-4.86013309526472
"21",1170,-4.89030520246426
"22",203,-4.48083058128928
"23",337,-4.9072192714816
"24",1029,-4.7892755185449
"25",1064,-4.96880975745528
"26",32,-4.81100540620605
"27",46,-4.99197831320854
"28",496,-5.10484175293443
"29",963,-4.83967866751953
"30",143,-5.1494776078108
"31",419,-5.33720473106171
"32",183,-5.44496286955176
"33",742,-4.88666492168292
"34",1066,-5.38806667981837
"35",119,-5.46353787920244
"36",398,-5.52179419565237
"37",800,-5.14854503832328
"38",1055,-5.48697604951054
"39",2879,-5.47930526402241
"40",125,-5.596052259752
"41",126,-5.59783960263264
"42",973,-5.07803179373548
"43",141,-5.71079491402222
"44",184,-5.70865082970542
"45",349,-5.69836584082684
"46",908,-5.48261786150728
"47",941,-5.67403424927476
"48",1235,-5.70072285088103
"49",1934,-5.70056820157245
"50",1953,-5.66612554258534
"51",2886,-5.65835494219075
"52",88,-5.76737146214507
"53",943,-5.76606922793506
"54",1834,-5.36987661570893
"55",3092,-5.806749402858
"56",209,-5.92647345520869
"57",395,-5.91813391792196
"58",454,-5.94947850271838
"59",987,-5.93628836632257
"60",1173,-5.92573153809621
"61",1985,-5.87291755670372
"62",2305,-5.43160429004199
"63",5865,-5.4658187877375
"64",107,-6.02217551604064
"65",247,-6.0519980338901
"66",302,-6.06245542125761
"67",354,-5.81824273466306
"68",427,-6.05115628449521
"69",651,-6.04389607079085
"70",783,-6.06002899072141
"71",1037,-6.08363635176908
"72",1056,-6.06284349728728
"73",1289,-6.02649280879529
"74",1667,-6.06465302241623
"75",1756,-6.05646420891418
"76",2475,-5.96070206824368
"77",2776,-6.01566403636581
"78",4796,-6.01381737834259
"79",297,-6.18517833089463
"80",388,-6.20807350377851
"81",599,-6.19858719644398
"82",659,-6.20215879831161
"83",719,-6.16120131654173
"84",810,-6.15772886676245
"85",1285,-6.21693871376047
"86",1290,-6.13692999155382
"87",1498,-6.21693871376047
"88",1626,-6.20648132639297
"89",2021,-6.22835363907204
"90",2390,-6.2187861828721
"91",2437,-6.21693871376047
"92",2477,-6.15209798303236
"93",2576,-6.2220583538197
"94",3594,-5.70841011133507
"95",200,-6.38112292244123
"96",215,-6.39800809149432
"97",515,-6.39959277263563
"98",535,-6.37876766364038
"99",550,-6.39959277263563
"100",568,-6.40471241269486
"101",628,-6.40346162735177
"102",630,-6.35902336689542
"103",631,-6.34627522242344
"104",856,-5.7580582506098
"105",865,-6.39959277263563
"106",876,-6.39959277263563
"107",1104,-6.39239034600164
"108",1261,-6.40755833748018
"109",1413,-6.40346162735177
"110",1448,-6.41233433357797
"111",1496,-6.39959277263563
"112",1536,-6.39959277263563
"113",1572,-5.79840108099794
"114",1793,-6.40531197858601
"115",1927,-6.39959277263563
"116",2411,-6.39959277263563
"117",2414,-6.34732343636067
"118",2911,-6.31971610108531
"119",4690,-6.36520071666218
"120",5072,-6.3999808486653
"121",5254,-5.78785764133151
"122",5535,-6.39072756265367
"123",5638,-6.39921295282038
"124",5651,-6.35325936081153
"125",8890,-6.34510096318719
"126",120,-6.62306871551015
"127",196,-6.60974819314324
"128",348,-6.61176957874776
"129",575,-6.62306871551015
"130",648,-5.97310723375768
"131",802,-6.60974819314324
"132",846,-6.62306871551015
"133",877,-6.62306871551015
"134",917,-6.55471067676747
"135",964,-6.61586628887616
"136",1030,-6.321586815775
"137",1125,-6.63257958947198
"138",1366,-6.61111631274111
"139",1578,-6.62306871551015
"140",2325,-6.62306871551015
"141",2345,-6.62306871551015
"142",3093,-6.58298647364599
"143",3112,-6.62306871551015
"144",3210,-6.62306871551015
"145",3332,-6.63207651476244
"146",4149,-6.62306871551015
"147",4156,-6.62937149700673
"148",4175,-6.60414765786465
"149",4814,-6.63049393719547
"150",5204,-6.62491618462178
"151",5294,-6.55829999027759
"152",6081,-6.6032163349264
"153",6291,-6.6179033666908
"154",6442,-6.5628050739833
"155",6469,-6.62268889569491
"156",6789,-6.62491618462178
"157",6991,-6.59045165602996
"158",7240,-6.04150279881778
"159",9900,-6.56073222686799
"160",64,-6.85465897433191
"161",116,-6.90334029928159
"162",128,-6.91108306907481
"163",173,-6.91108306907481
"164",219,-6.88461594083388
"165",420,-6.91108306907481
"166",660,-6.88817230780306
"167",678,-6.8519492960467
"168",685,-6.91108306907481
"169",712,-6.88586672617697
"170",895,-6.85278747460864
"171",1009,-6.89123068849106
"172",1036,-6.91108306907481
"173",1165,-6.91108306907481
"174",1246,-6.91495192379095
"175",1284,-6.85707882133846
"176",1371,-6.91108306907481
"177",1401,-6.91108306907481
"178",1452,-6.91108306907481
"179",1457,-6.60621832258547
"180",1458,-6.52266789899791
"181",1538,-6.83709916146759
"182",1804,-6.91108306907481
"183",1882,-6.91108306907481
"184",1889,-6.91070324925956
"185",1952,-6.91070324925956
"186",1961,-6.8117571433537
"187",2185,-6.91108306907481
"188",2191,-6.83636299400429
"189",2229,-6.83515566126078
"190",2313,-6.90990742388171
"191",2372,-6.91108306907481
"192",2391,-6.91108306907481
"193",2430,-6.91108306907481
"194",2438,-6.91108306907481
"195",2452,-6.91108306907481
"196",2664,-6.9063986799696
"197",2856,-6.81659895570854
"198",2894,-6.91108306907481
"199",3019,-6.91108306907481
"200",3194,-6.9054259515581
"201",3556,-6.91108306907481
"202",3573,-6.22999697471008
"203",4244,-6.86235363100685
"204",4256,-6.91108306907481
"205",4310,-6.91108306907481
"206",4597,-6.91108306907481
"207",4979,-6.90908156035763
"208",5015,-6.91108306907481
"209",5282,-6.30621913527971
"210",5479,-6.21186430642671
"211",5736,-6.91108306907481
"212",5893,-6.91108306907481
"213",6313,-6.91108306907481
"214",6820,-6.91108306907481
"215",6828,-6.91108306907481
"216",6984,-6.89845729668164
"217",7095,-6.91108306907481
"218",8247,-6.22948961762797
"219",11127,-6.92059394303664
"220",37,-7.31688034792179
"221",44,-7.20946401345157
"222",51,-7.31402058072852
"223",70,-7.24001673267483
"224",90,-7.24273006445292
"225",127,-7.31688034792179
"226",159,-7.31688034792179
"227",166,-7.31688034792179
"228",199,-7.30284229287623
"229",255,-7.31688034792179
"230",285,-7.31688034792179
"231",369,-7.30425457552862
"232",392,-7.31688034792179
"233",481,-7.31688034792179
"234",512,-7.29041321968085
"235",555,-7.30425457552862
"236",569,-7.30425457552862
"237",607,-7.31688034792179
"238",642,-6.45636093995594
"239",786,-7.29795929027628
"240",801,-7.30284229287623
"241",822,-7.30913757812857
"242",839,-7.30743156239363
"243",842,-7.30743156239363
"244",980,-7.31688034792179
"245",1042,-7.31688034792179
"246",1051,-7.29971084772607
"247",1105,-7.31688034792179
"248",1118,-7.31688034792179
"249",1133,-7.31312728175482
"250",1187,-7.31688034792179
"251",1188,-7.31688034792179
"252",1189,-7.31688034792179
"253",1315,-7.31688034792179
"254",1317,-7.21194438021577
"255",1353,-7.31688034792179
"256",1367,-7.30558121115939
"257",1377,-7.31688034792179
"258",1399,-7.28908658405008
"259",1562,-7.31688034792179
"260",1563,-7.31688034792179
"261",1603,-7.30801513793982
"262",1690,-7.31688034792179
"263",1723,-7.22045273434871
"264",1786,-7.301332536628
"265",1821,-7.31020524285421
"266",1838,-7.31688034792179
"267",1847,-7.31688034792179
"268",1850,-7.31688034792179
"269",1851,-7.31688034792179
"270",1940,-7.28616454514947
"271",1948,-7.30425457552862
"272",1980,-7.29795929027628
"273",2050,-7.31688034792179
"274",2066,-7.31688034792179
"275",2091,-7.30801513793982
"276",2107,-7.31688034792179
"277",2224,-7.28815526111184
"278",2286,-7.31688034792179
"279",2297,-7.30425457552862
"280",2298,-7.31020524285421
"281",2303,-7.31688034792179
"282",2334,-7.31688034792179
"283",2336,-7.31688034792179
"284",2373,-7.31688034792179
"285",2405,-7.31688034792179
"286",2585,-7.31688034792179
"287",2590,-7.25402920121532
"288",2612,-7.30425457552862
"289",2766,-7.31688034792179
"290",2768,-7.31688034792179
"291",2857,-7.31688034792179
"292",2914,-7.31688034792179
"293",2943,-7.31688034792179
"294",2976,-7.31688034792179
"295",3009,-7.23910154150426
"296",3143,-7.30425457552862
"297",3144,-7.31312728175482
"298",3199,-7.29702796733804
"299",3312,-7.2599266504995
"300",3399,-7.31688034792179
"301",3447,-7.31402058072852
"302",3466,-7.31122323040508
"303",3477,-7.23075409472355
"304",3606,-7.31688034792179
"305",3655,-7.31688034792179
"306",3738,-7.31688034792179
"307",3742,-7.31688034792179
"308",3786,-7.31688034792179
"309",3935,-7.31688034792179
"310",4041,-7.31688034792179
"311",4098,-6.96442600834543
"312",4114,-7.31688034792179
"313",4115,-7.31688034792179
"314",4165,-7.31688034792179
"315",4176,-7.29971084772607
"316",4513,-7.31688034792179
"317",4515,-7.31688034792179
"318",4603,-7.24332024682535
"319",4676,-6.5036996547634
"320",4734,-7.31688034792179
"321",4751,-7.31688034792179
"322",4869,-7.31688034792179
"323",4880,-7.31688034792179
"324",4929,-7.30558121115939
"325",5084,-7.31688034792179
"326",5297,-7.31688034792179
"327",5392,-7.31020524285421
"328",5434,-7.31688034792179
