"","ChunkHash","B"
"1",103,-3.18255756219409
"2",321,-3.36147489247532
"3",3754,-3.89623231952182
"4",609,-3.96657882911733
"5",1685,-4.04203860952016
"6",1273,-4.06179436210342
"7",1279,-4.18898111451695
"8",1587,-4.30844736888416
"9",3846,-4.30844736888416
"10",7566,-4.33410148089045
"11",3332,-4.41515242255967
"12",7730,-4.41515242255967
"13",2584,-4.47298242809712
"14",10198,-4.53427819087834
"15",598,-4.70585311209481
"16",1436,-4.70585311209481
"17",221,-4.74392828019463
"18",329,-4.78348372138451
"19",2322,-4.82464033193599
"20",3021,-4.95917490137094
"21",10978,-4.95917490137094
"22",11368,-4.95917490137094
"23",19,-5.00829923429871
"24",215,-5.00829923429871
"25",93,-5.05992658581313
"26",4983,-5.11432775265339
"27",1271,-5.17182000058089
"28",1274,-5.17182000058089
"29",12250,-5.17182000058089
"30",4147,-5.36697684913375
"31",763,-5.44141821018871
"32",1580,-5.44141821018871
"33",5035,-5.44141821018871
"34",416,-5.52179419565237
"35",3772,-5.52179419565237
"36",8713,-5.52179419565237
"37",11209,-5.52179419565237
"38",30807,-5.52179419565237
"39",593,-5.60913873939504
"40",594,-5.60913873939504
"41",10341,-5.60913873939504
"42",1272,-5.70478197498928
"43",1581,-5.70478197498928
"44",3218,-5.70478197498928
"45",7526,-5.70478197498928
"46",10171,-5.70478197498928
"47",10245,-5.70478197498928
"48",11958,-5.70478197498928
"49",20980,-5.70478197498928
"50",21149,-5.70478197498928
"51",30926,-5.70478197498928
"52",357,-5.81047543554781
"53",369,-5.81047543554781
"54",19669,-5.81047543554781
"55",32457,-5.81047543554781
"56",160,-5.92859130528947
"57",1845,-5.92859130528947
"58",3841,-5.92859130528947
"59",3853,-5.92859130528947
"60",4723,-5.92859130528947
"61",10190,-5.92859130528947
"62",10567,-5.92859130528947
"63",17365,-5.92859130528947
"64",21387,-5.92859130528947
"65",343,-6.06245542125761
"66",492,-6.06245542125761
"67",1531,-6.06245542125761
"68",2588,-6.06245542125761
"69",4581,-6.06245542125761
"70",4678,-6.06245542125761
"71",6638,-6.06245542125761
"72",10986,-6.06245542125761
"73",11210,-6.06245542125761
"74",13740,-6.06245542125761
"75",20200,-6.06245542125761
"76",26510,-6.06245542125761
"77",29674,-6.06245542125761
"78",49145,-6.06245542125761
"79",404,-6.21693871376047
"80",2419,-6.21693871376047
"81",3361,-6.21693871376047
"82",3756,-6.21693871376047
"83",4768,-6.21693871376047
"84",6280,-6.21693871376047
"85",6360,-6.21693871376047
"86",7821,-6.21693871376047
"87",13532,-6.21693871376047
"88",13741,-6.21693871376047
"89",16172,-6.21693871376047
"90",17384,-6.21693871376047
"91",21688,-6.21693871376047
"92",26120,-6.21693871376047
"93",27382,-6.21693871376047
"94",37052,-6.21693871376047
"95",1113,-6.39959277263563
"96",1202,-6.39959277263563
"97",1672,-6.39959277263563
"98",1924,-6.39959277263563
"99",3830,-6.39959277263563
"100",5473,-6.39959277263563
"101",5547,-6.39959277263563
"102",5772,-6.39959277263563
"103",5822,-6.39959277263563
"104",6494,-6.39959277263563
"105",6527,-6.39959277263563
"106",6528,-6.39959277263563
"107",6573,-6.39959277263563
"108",6777,-6.39959277263563
"109",9054,-6.39959277263563
"110",9304,-6.39959277263563
"111",9531,-6.39959277263563
"112",10967,-6.39959277263563
"113",13217,-6.39959277263563
"114",15007,-6.39959277263563
"115",15414,-6.39959277263563
"116",16170,-6.39959277263563
"117",20850,-6.39959277263563
"118",25730,-6.39959277263563
"119",30202,-6.39959277263563
"120",31326,-6.39959277263563
"121",39930,-6.39959277263563
"122",52091,-6.39959277263563
"123",52284,-6.39959277263563
"124",54716,-6.39959277263563
"125",57428,-6.39959277263563
"126",96909,-6.39959277263563
"127",1593,-6.62306871551015
"128",1688,-6.62306871551015
"129",2935,-6.62306871551015
"130",3217,-6.62306871551015
"131",3461,-6.62306871551015
"132",6175,-6.62306871551015
"133",6329,-6.62306871551015
"134",6635,-6.62306871551015
"135",8006,-6.62306871551015
"136",8715,-6.62306871551015
"137",9353,-6.62306871551015
"138",9896,-6.62306871551015
"139",10273,-6.62306871551015
"140",10979,-6.62306871551015
"141",12149,-6.62306871551015
"142",14657,-6.62306871551015
"143",16976,-6.62306871551015
"144",23853,-6.62306871551015
"145",26273,-6.62306871551015
"146",30948,-6.62306871551015
"147",32659,-6.62306871551015
"148",33361,-6.62306871551015
"149",34409,-6.62306871551015
"150",40198,-6.62306871551015
"151",49243,-6.62306871551015
"152",62784,-6.62306871551015
"153",65483,-6.62306871551015
"154",67101,-6.62306871551015
"155",67360,-6.62306871551015
"156",72573,-6.62306871551015
"157",75837,-6.62306871551015
"158",109789,-6.62306871551015
"159",162,-6.91108306907481
"160",270,-6.91108306907481
"161",413,-6.91108306907481
"162",417,-6.91108306907481
"163",596,-6.91108306907481
"164",686,-6.91108306907481
"165",1511,-6.91108306907481
"166",1619,-6.91108306907481
"167",1928,-6.91108306907481
"168",2256,-6.91108306907481
"169",2411,-6.91108306907481
"170",4424,-6.91108306907481
"171",4844,-6.91108306907481
"172",6328,-6.91108306907481
"173",6862,-6.91108306907481
"174",7408,-6.91108306907481
"175",7602,-6.91108306907481
"176",7665,-6.91108306907481
"177",9611,-6.91108306907481
"178",11101,-6.91108306907481
"179",12248,-6.91108306907481
"180",13302,-6.91108306907481
"181",13531,-6.91108306907481
"182",14662,-6.91108306907481
"183",14995,-6.91108306907481
"184",15027,-6.91108306907481
"185",15389,-6.91108306907481
"186",15523,-6.91108306907481
"187",15524,-6.91108306907481
"188",16598,-6.91108306907481
"189",18980,-6.91108306907481
"190",19657,-6.91108306907481
"191",19965,-6.91108306907481
"192",20322,-6.91108306907481
"193",21108,-6.91108306907481
"194",23260,-6.91108306907481
"195",24968,-6.91108306907481
"196",26050,-6.91108306907481
"197",26121,-6.91108306907481
"198",26252,-6.91108306907481
"199",28313,-6.91108306907481
"200",30619,-6.91108306907481
"201",30934,-6.91108306907481
"202",33271,-6.91108306907481
"203",33428,-6.91108306907481
"204",35244,-6.91108306907481
"205",36608,-6.91108306907481
"206",36663,-6.91108306907481
"207",38016,-6.91108306907481
"208",38814,-6.91108306907481
"209",42003,-6.91108306907481
"210",42665,-6.91108306907481
"211",51269,-6.91108306907481
"212",51524,-6.91108306907481
"213",54935,-6.91108306907481
"214",59349,-6.91108306907481
"215",61055,-6.91108306907481
"216",65744,-6.91108306907481
"217",70838,-6.91108306907481
"218",70929,-6.91108306907481
"219",72518,-6.91108306907481
"220",88783,-6.91108306907481
"221",122693,-6.91108306907481
"222",65,-7.31688034792179
"223",227,-7.31688034792179
"224",256,-7.31688034792179
"225",290,-7.31688034792179
"226",371,-7.31688034792179
"227",595,-7.31688034792179
"228",621,-7.31688034792179
"229",643,-7.31688034792179
"230",681,-7.31688034792179
"231",1074,-7.31688034792179
"232",1427,-7.31688034792179
"233",1434,-7.31688034792179
"234",1691,-7.31688034792179
"235",1964,-7.31688034792179
"236",1989,-7.31688034792179
"237",2281,-7.31688034792179
"238",2369,-7.31688034792179
"239",2426,-7.31688034792179
"240",3335,-7.31688034792179
"241",3421,-7.31688034792179
"242",3815,-7.31688034792179
"243",3826,-7.31688034792179
"244",4106,-7.31688034792179
"245",4903,-7.31688034792179
"246",5043,-7.31688034792179
"247",5050,-7.31688034792179
"248",5210,-7.31688034792179
"249",5552,-7.31688034792179
"250",5571,-7.31688034792179
"251",5773,-7.31688034792179
"252",6288,-7.31688034792179
"253",7250,-7.31688034792179
"254",7501,-7.31688034792179
