"","tag","sji","prior","targetP","act","tagFile"
"1","export",3.17663454157113,-8.57975687364282,0,-5.40312233207169,"000/4283000"
"2","maxscript",4.93535451047111,-12.6944518903663,0,-7.75909737989521,"000/4283000"
"3","mesh",3.98847222140471,-10.6869640759123,0,-6.69849185450763,"000/4283000"
"4","subgraph",4.71687297226271,-12.3267257466398,0,-7.6098527743771,"000/4283000"
"5","graph-theory",3.49043520673916,-9.58830610468889,0,-6.09787089794973,"000/4283000"
"6","algorithm",1.83547970823469,-6.03333638943293,0,-4.19785668119824,"000/4283000"
"7","vertex",4.12643990742929,-11.3653074205484,0,-7.23886751311915,"000/4283000"
"8","graph",2.48134834025894,-7.74447432084544,0,-5.2631259805865,"000/4283000"
"9","xslt",1.97408410443313,-6.98679032085351,0,-5.01270621642037,"000/4283000"
"10","connection",2.57716257077079,-8.35185765023039,0,-5.77469507945959,"000/4283000"
"11","xpath",2.18649922831091,-7.51713413572064,0,-5.33063490740972,"000/4283000"
"12","flip",3.61285847790357,-10.717270107221,0,-7.10441162931747,"000/4283000"
"13","language-agnostic",1.88166822988025,-6.87201822412836,0,-4.99034999424812,"000/4283000"
"14","silverlight",1.36320861149267,-5.84651706960424,0,-4.48330845811157,"000/4283000"
"15","c#",0.125152634021904,-3.25117167990564,0,-3.12601904588374,"000/4283000"
"16","wpf",0.908706117839713,-5.11533745634172,0,-4.20663133850201,"000/4283000"
"17","animation",1.79052420123884,-7.31851362339749,0,-5.52798942215865,"000/4283000"
"18","skinning",3.00366459267489,-10.0958477405696,0,-7.09218314789474,"000/4283000"
"19","php",0.0981032344930822,-3.74932108327425,0,-3.65121784878117,"000/4283000"
"20","java",0.0467616387765716,-3.64323522929634,0,-3.59647359051977,"000/4283000"
"21","javascript",-0.000761159911961502,-3.9033703152429,0,-3.90413147515486,"000/4283000"
"22","asp.net",0.0958622370753036,-4.12009262997536,0,-4.02423039290006,"000/4283000"
"23","iphone",0.0453089205359788,-4.08850180874184,0,-4.04319288820586,"000/4283000"
"24",".net",0.0188242122234404,-4.07712844594501,0,-4.05830423372157,"000/4283000"
"25","android",0.08985459584049,-4.41625494691123,0,-4.32640035107074,"000/4283000"
"26","jquery",-0.0965711294591486,-4.06048358420244,0,-4.15705471366158,"000/4283000"
"27","c++",-0.0402377862979595,-4.19314759591115,0,-4.23338538220911,"000/4283000"
"28","mysql",0.140998714577897,-4.62019048552648,0,-4.47919177094858,"000/4283000"
"29","python",0.0240337737062629,-4.37895758031935,0,-4.35492380661309,"000/4283000"
"30","sql",0.130616002182142,-4.64375265084457,0,-4.51313664866243,"000/4283000"
"31","objective-c",0.084855440797455,-4.84556647858964,0,-4.76071103779219,"000/4283000"
"32","sql-server",0.107130934600319,-5.07104018104069,0,-4.96390924644037,"000/4283000"
"33","html",-0.0830236419760237,-4.67228257395912,0,-4.75530621593515,"000/4283000"
"34","xml",0.211523965419089,-5.35432176243452,0,-5.14279779701544,"000/4283000"
"35","ruby-on-rails",-0.105460717047567,-4.81592486687124,0,-4.92138558391881,"000/4283000"
"36","c",-0.0425449427701983,-4.97247883080322,0,-5.01502377357342,"000/4283000"
"37","vb.net",0.139770587880286,-5.59420510070662,0,-5.45443451282633,"000/4283000"
"38","database",0.0597796183999508,-5.46288293300166,0,-5.40310331460171,"000/4283000"
"39","windows",0.0394733714503607,-5.45055652287635,0,-5.41108315142599,"000/4283000"
"40","asp.net-mvc",-0.0477755824763398,-5.27861812032188,0,-5.32639370279822,"000/4283000"
"41","wpf",1.26226528073433,-5.11533745634172,1,-3.85307217560739,"001/188001"
"42","c#",0.387953219562812,-3.25117167990564,1,-2.86321846034283,"001/188001"
"43","databinding",1.82011315359548,-6.89941774163272,1,-5.07930458803725,"001/188001"
"44",".net",0.292671067748204,-4.07712844594501,0,-3.7844573781968,"001/188001"
"45","binding",1.58966946762531,-7.53999004760174,0,-5.95032057997642,"001/188001"
"46","silverlight",0.803969607850834,-5.84651706960424,0,-5.04254746175341,"001/188001"
"47","wpf-binding",1.82170128834774,-8.39467850401755,0,-6.5729772156698,"001/188001"
"48","xaml",1.12308900124692,-6.85081916379076,0,-5.72773016254383,"001/188001"
"49","xml",0.414615603722586,-5.35432176243452,1,-4.93970615871194,"001/188001"
