"","tag","sji","prior","targetP","act","tagFile"
"1","exercises",4.34885056024167,-7.31688034792179,1,-2.96802978768012,"002/4002"
"2","self-improvement",3.16276354034302,-6.21693871376047,1,-3.05417517341746,"002/4002"
"3","language-agnostic",0.624056284227547,-4.06179436210342,0,-3.43773807787587,"002/4002"
"4",".net",0.0944183206038749,-3.36147489247532,0,-3.26705657187144,"002/4002"
"5","skills",2.02432657485868,-8.01035958891978,0,-5.9860330140611,"002/4002"
"6","c#",-0.167610466166246,-3.18255756219409,0,-3.35016802836034,"002/4002"
"7","web",0.434225986931226,-4.78348372138451,0,-4.34925773445328,"002/4002"
"8","database",-0.0143126995194132,-3.96657882911733,0,-3.98089152863674,"002/4002"
"9","javascript",0.196621808165796,-4.53427819087834,0,-4.33765638271255,"002/4002"
"10","sql",0.0479176672807981,-4.30844736888416,0,-4.26052970160336,"002/4002"
"11","sql-server",-0.0820319321308797,-4.04203860952016,0,-4.12407054165104,"002/4002"
"12","profiling",1.66884016111431,-8.01035958891978,0,-6.34151942780547,"002/4002"
"13","profiler",1.66884016111431,-8.01035958891978,0,-6.34151942780547,"002/4002"
"14","application-advice",1.66884016111431,-8.01035958891978,0,-6.34151942780547,"002/4002"
"15","unit-testing",0.290163568713115,-4.95917490137094,0,-4.66901133265783,"002/4002"
"16","asp.net",-0.213433104712482,-3.89623231952182,0,-4.1096654242343,"002/4002"
"17","java",-0.0296426356150144,-4.30844736888416,0,-4.33809000449918,"002/4002"
"18","visual-studio",-0.0438934381886804,-4.33410148089045,0,-4.37799491907913,"002/4002"
"19","python",-0.0181853082170439,-4.41515242255967,0,-4.43333773077671,"002/4002"
"20","php",-0.132738108073861,-4.18898111451695,0,-4.32171922259081,"002/4002"
"21","windows",-0.0395576246668289,-4.41515242255967,0,-4.4547100472265,"002/4002"
"22","c++",0.0540279628935161,-4.70585311209481,0,-4.65182514920129,"002/4002"
"23","multithreading",0.539927111911627,-5.81047543554781,0,-5.27054832363618,"002/4002"
"24","code-review",0.790153805365111,-6.39959277263563,0,-5.60943896727052,"002/4002"
"25","svn",-0.0820334340336308,-4.47298242809712,0,-4.55501586213075,"002/4002"
"26","gui",0.228889887223869,-5.17182000058089,0,-4.94293011335702,"002/4002"
"27","tools",0.131124075698136,-4.95917490137094,0,-4.82805082567281,"002/4002"
"28","version-control",0.188983706664352,-5.11432775265339,0,-4.92534404598903,"002/4002"
"29","web-development",0.363157342222175,-5.52179419565237,0,-5.15863685343019,"002/4002"
"30","planning",1.16280010910707,-7.31688034792179,0,-6.15408023881471,"002/4002"
"31","concurrency",1.46502590743503,-8.01035958891978,0,-6.54533368148475,"002/4002"
"32","mysql",-0.0245818679856908,-4.70585311209481,0,-4.7304349800805,"002/4002"
"33","teamwork",0.697407786318619,-6.39959277263563,0,-5.70218498631701,"002/4002"
"34","flash",0.514829074290533,-6.06245542125761,0,-5.54762634696707,"002/4002"
"35","ruby",-0.046852651757095,-4.82464033193599,0,-4.87149298369309,"002/4002"
"36","firefox",0.436636234416284,-5.92859130528947,0,-5.49195507087319,"002/4002"
"37","tdd",0.379356165663854,-5.81047543554781,0,-5.43111926988395,"002/4002"
"38","linux",-0.00825842615824365,-4.95917490137094,0,-4.96743332752919,"002/4002"
"39","css",0.00187295007271185,-5.00829923429871,0,-5.006426284226,"002/4002"
"40","web-services",0.267762476620412,-5.60913873939504,0,-5.34137626277462,"002/4002"
"41","speed",5.29139257681025,-8.01035958891978,1,-2.71896701210954,"002/5002"
"42","remoting",5.29139257681025,-8.01035958891978,1,-2.71896701210954,"002/5002"
"43","wireless",5.29139257681025,-8.01035958891978,1,-2.71896701210954,"002/5002"
"44","vpn",3.4668432847592,-6.62306871551015,1,-3.15622543075095,"002/5002"
"45","performance",2.49595813434411,-5.17182000058089,1,-2.67586186623679,"002/5002"
"46",".net",1.25228915495068,-3.36147489247532,1,-2.10918573752464,"002/5002"
"47","c#",0.247059950785051,-3.18255756219409,0,-2.93549761140904,"002/5002"
"48","database",0.0999270514366466,-3.96657882911733,0,-3.86665177768068,"002/5002"
"49","oop",0.633431216227747,-5.36697684913375,0,-4.733545632906,"002/5002"
"50","visual-studio",0.109923037897651,-4.33410148089045,0,-4.2241784429928,"002/5002"
"51","php",-0.0347125865275636,-4.18898111451695,0,-4.22369370104451,"002/5002"
"52","java",0.0150407447128579,-4.30844736888416,0,-4.2934066241713,"002/5002"
"53","asp.net",-0.171817689091953,-3.89623231952182,0,-4.06805000861377,"002/5002"
"54","python",0.03369606980657,-4.41515242255967,0,-4.3814563527531,"002/5002"
"55","javascript",0.0835599900106046,-4.53427819087834,0,-4.45071820086774,"002/5002"
"56","unit-testing",0.272407780537532,-4.95917490137094,0,-4.68676712083341,"002/5002"
"57","language-agnostic",-0.133999963790342,-4.06179436210342,0,-4.19579432589376,"002/5002"
"58","svn",0.0196741565691648,-4.47298242809712,0,-4.45330827152796,"002/5002"
"59","mysql",0.112843280388579,-4.70585311209481,0,-4.59300983170623,"002/5002"
"60","testing",0.428221141198365,-5.44141821018871,0,-5.01319706899034,"002/5002"
"61","sql",-0.0874294907021077,-4.30844736888416,0,-4.39587685958627,"002/5002"
"62","c++",0.0561384679279557,-4.70585311209481,0,-4.64971464416685,"002/5002"
"63","msbuild",0.723303840080122,-6.21693871376047,0,-5.49363487368035,"002/5002"
"64","sql-server",-0.248874342812512,-4.04203860952016,0,-4.29091295233268,"002/5002"
"65","vb.net",0.183694653551058,-5.05992658581313,0,-4.87623193226207,"002/5002"
"66","gui",0.214455918602595,-5.17182000058089,0,-4.9573640819783,"002/5002"
"67","html",0,-4.74392828019463,0,-4.74392828019463,"002/5002"
"68","windows",-0.159171435422276,-4.41515242255967,0,-4.57432385798194,"002/5002"
"69","compiler",0.717788676889045,-6.39959277263563,0,-5.68180409574659,"002/5002"
"70","web",-0.00388245056211195,-4.78348372138451,0,-4.78736617194662,"002/5002"
"71","tdd",0.446044967856144,-5.81047543554781,0,-5.36443046769166,"002/5002"
"72","procedural",1.07687626503633,-7.31688034792179,0,-6.24000408288546,"002/5002"
"73","ruby",-0.0362999468396308,-4.82464033193599,0,-4.86094027877562,"002/5002"
"74",".net-3.5",0.277650519826504,-5.60913873939504,0,-5.33148821956853,"002/5002"
"75","documentation",0.602715847908333,-6.39959277263563,0,-5.7968769247273,"002/5002"
"76","version-control",0,-5.11432775265339,0,-5.11432775265339,"002/5002"
"77","tools",-0.0735437894157551,-4.95917490137094,0,-5.0327186907867,"002/5002"
"78","linux",-0.0862062452986205,-4.95917490137094,0,-5.04538114666957,"002/5002"
"79","c",-0.0874294907021077,-5.00829923429871,0,-5.09572872500082,"002/5002"
"80","css",-0.0886452999173841,-5.00829923429871,0,-5.09694453421609,"002/5002"
"81","javascript",1.00738340696854,-4.53427819087834,1,-3.5268947839098,"002/7002"
"82","design-patterns",1.91607064952171,-6.62306871551015,1,-4.70699806598845,"002/7002"
"83","design",1.18083293347659,-5.92859130528947,0,-4.74775837181288,"002/7002"
"84",".net",-0.0477171350152819,-3.36147489247532,0,-3.4091920274906,"002/7002"
"85","c#",-0.16437364230475,-3.18255756219409,0,-3.34693120449884,"002/7002"
"86","polls",1.07171231412841,-6.06245542125761,0,-4.9907431071292,"002/7002"
"87","database",0.113350810366816,-3.96657882911733,0,-3.85322801875051,"002/7002"
"88","language-agnostic",0.0953850489136625,-4.06179436210342,0,-3.96640931318976,"002/7002"
"89","svn",0.244063266540888,-4.47298242809712,0,-4.22891916155623,"002/7002"
"90","ruby",0.399405815570344,-4.82464033193599,0,-4.42523451636565,"002/7002"
"91","asp.net",-0.0498792444693932,-3.89623231952182,0,-3.94611156399121,"002/7002"
"92","unit-testing",0.423714797787582,-4.95917490137094,0,-4.53546010358336,"002/7002"
"93","python",0.125793352547171,-4.41515242255967,0,-4.28935907001249,"002/7002"
"94","sql",0.0762550911102766,-4.30844736888416,0,-4.23219227777389,"002/7002"
"95","version-control",0.419720802163215,-5.11432775265339,0,-4.69460695049017,"002/7002"
"96","books",0.564758856876618,-5.52179419565237,0,-4.95703533877575,"002/7002"
"97","graph",0.91972491331866,-6.39959277263563,0,-5.47986785931697,"002/7002"
"98","java",-0.0167613234501848,-4.30844736888416,0,-4.32520869233435,"002/7002"
"99","tools",0.273109073998035,-4.95917490137094,0,-4.68606582737291,"002/7002"
"100","linq",0.493978528715258,-5.52179419565237,0,-5.02781566693711,"002/7002"
"101","web-development",0.48076693245346,-5.52179419565237,0,-5.04102726319891,"002/7002"
"102","windows",-0.0159655210843872,-4.41515242255967,0,-4.43111794364405,"002/7002"
"103","web-applications",0.555145091205261,-5.70478197498928,0,-5.14963688378402,"002/7002"
"104","sql-server",-0.200227470692312,-4.04203860952016,0,-4.24226608021248,"002/7002"
"105","c++",0.0930997248066037,-4.70585311209481,0,-4.6127533872882,"002/7002"
"106","css",0.219073039334018,-5.00829923429871,0,-4.78922619496469,"002/7002"
"107","data-structures",0.528677580030439,-5.70478197498928,0,-5.17610439495885,"002/7002"
"108","software-engineering",0.830445316384039,-6.39959277263563,0,-5.56914745625159,"002/7002"
"109","visual-studio",-0.0927417040278803,-4.33410148089045,0,-4.42684318491833,"002/7002"
"110","php",-0.15888426867534,-4.18898111451695,0,-4.34786538319229,"002/7002"
"111","patterns",0.905740479002197,-6.62306871551015,0,-5.71732823650796,"002/7002"
"112","email",0.719348956174915,-6.21693871376047,0,-5.49758975758556,"002/7002"
"113","frameworks",0.715763003022002,-6.21693871376047,0,-5.50117571073847,"002/7002"
"114","html",0.0575729229371419,-4.74392828019463,0,-4.68635535725749,"002/7002"
"115","mysql",0.0167534011038106,-4.70585311209481,0,-4.689099710991,"002/7002"
"116","howto",0.68731776214505,-6.21693871376047,0,-5.52962095161542,"002/7002"
"117",".net-3.5",0.401329587945082,-5.60913873939504,0,-5.20780915144995,"002/7002"
"118","vb.net",0.15168677185342,-5.05992658581313,0,-4.90823981395971,"002/7002"
"119","browser",0.433321292475929,-5.81047543554781,0,-5.37715414307188,"002/7002"
"120","self-improvement",0.597113982787861,-6.21693871376047,0,-5.61982473097261,"002/7002"
"121","productivity",3.25048198193447,-6.21693871376047,1,-2.966456731826,"003/5003"
"122",".net",0.00568487275144517,-3.36147489247532,0,-3.35579001972387,"003/5003"
"123","c#",-0.145566988570441,-3.18255756219409,0,-3.32812455076453,"003/5003"
"124","database",0.152580129987195,-3.96657882911733,0,-3.81399869913013,"003/5003"
"125","mysql",0.37687738629738,-4.70585311209481,0,-4.32897572579743,"003/5003"
"126","asp.net",-0.0610308256103322,-3.89623231952182,0,-3.95726314513215,"003/5003"
"127","python",0.120458738800989,-4.41515242255967,0,-4.29469368375868,"003/5003"
"128","php",0.00496820844351192,-4.18898111451695,0,-4.18401290607344,"003/5003"
"129","windows",0.0975991712833004,-4.41515242255967,0,-4.31755325127637,"003/5003"
"130","java",0.038900657644265,-4.30844736888416,0,-4.2695467112399,"003/5003"
"131","c++",0.201235443885944,-4.70585311209481,0,-4.50461766820886,"003/5003"
"132","sql-server",-0.0968090168276928,-4.04203860952016,0,-4.13884762634786,"003/5003"
"133","language-agnostic",-0.0916162135114216,-4.06179436210342,0,-4.15341057561484,"003/5003"
"134","sql",0.00631732313766796,-4.30844736888416,0,-4.30213004574649,"003/5003"
"135","html",0.170077862051203,-4.74392828019463,0,-4.57385041814342,"003/5003"
"136","javascript",0.00871546550593449,-4.53427819087834,0,-4.52556272537241,"003/5003"
"137","ruby",0.133416989543063,-4.82464033193599,0,-4.69122334239293,"003/5003"
"138","c",0.194069875916983,-5.00829923429871,0,-4.81422935838173,"003/5003"
"139","web",0.0186823121474654,-4.78348372138451,0,-4.76480140923704,"003/5003"
"140","linux",0.0871947386895149,-4.95917490137094,0,-4.87198016268143,"003/5003"
"141","visual-studio",-0.202888266337911,-4.33410148089045,0,-4.53698974722837,"003/5003"
"142",".net-3.5",0.365881758248422,-5.60913873939504,0,-5.24325698114661,"003/5003"
"143","linq",0.323725274954203,-5.52179419565237,0,-5.19806892069816,"003/5003"
"144","svn",-0.148775897371436,-4.47298242809712,0,-4.62175832546856,"003/5003"
"145","unix",0.160280301501132,-5.17182000058089,0,-5.01153969907976,"003/5003"
"146","unit-testing",0.0329705483937742,-4.95917490137094,0,-4.92620435297717,"003/5003"
"147","tools",0.00641932005259334,-4.95917490137094,0,-4.95275558131835,"003/5003"
"148","performance",0.0964125874893722,-5.17182000058089,0,-5.07540741309152,"003/5003"
"149","gui",0.0881380936450484,-5.17182000058089,0,-5.08368190693585,"003/5003"
"150","version-control",0.0424452901681634,-5.11432775265339,0,-5.07188246248522,"003/5003"
"151","pdf",0.593383262009409,-6.39959277263563,0,-5.80620951062622,"003/5003"
"152","css",-0.0457897946540531,-5.00829923429871,0,-5.05408902895276,"003/5003"
"153","testing",0.134273089071484,-5.44141821018871,0,-5.30714512111723,"003/5003"
"154","vb.net",-0.0396293011615498,-5.05992658581313,0,-5.09955588697468,"003/5003"
"155","books",0.166274098947205,-5.52179419565237,0,-5.35552009670516,"003/5003"
"156","xml",0.162009412851416,-5.52179419565237,0,-5.35978478280095,"003/5003"
"157","security",0.116427022044895,-5.44141821018871,0,-5.32499118814382,"003/5003"
"158","ruby-on-rails",0.228848534737807,-5.70478197498928,0,-5.47593344025148,"003/5003"
"159","regex",0.312710999747722,-5.92859130528947,0,-5.61588030554175,"003/5003"
"160","web-applications",0.205968370567387,-5.70478197498928,0,-5.4988136044219,"003/5003"
"161","dynamic-data",2.79589463978252,-8.01035958891978,1,-5.21446494913726,"004/3004"
"162","asp.net",0.797757433210033,-3.89623231952182,1,-3.09847488631179,"004/3004"
"163","database",0.446312829752304,-3.96657882911733,0,-3.52026599936502,"004/3004"
"164","c#",0.00575280447093308,-3.18255756219409,0,-3.17680475772316,"004/3004"
"165",".net",0.0304226167797615,-3.36147489247532,0,-3.33105227569556,"004/3004"
"166","sql",0.339066897473074,-4.30844736888416,0,-3.96938047141109,"004/3004"
"167","sql-server",0.210019037056538,-4.04203860952016,0,-3.83201957246363,"004/3004"
