"","i","j","x"
"1",18,13,5110
"2",66,13,245
"3",339,13,966
"4",671,13,350
"5",2946,13,168
"6",3893,13,476
"7",12373,13,133
"8",1,19,13692
"9",3,19,150286
"10",7,19,12225
"11",8,19,55583
"12",9,19,18256
"13",13,19,489
"14",14,19,227222
"15",18,19,118990
"16",19,19,24124
"17",21,19,28525
"18",22,19,40587
"19",35,19,13203
"20",37,19,50530
"21",39,19,14670
"22",40,19,19723
"23",60,19,6357
"24",62,19,24124
"25",66,19,5705
"26",80,19,68134
"27",90,19,89650
"28",92,19,106602
"29",95,19,64874
"30",96,19,57213
"31",104,19,12225
"32",120,19,6194
"33",121,19,29340
"34",130,19,45803
"35",144,19,23798
"36",224,19,19234
"37",228,19,6683
"38",257,19,88183
"39",315,19,1304
"40",355,19,27221
"41",378,19,23146
"42",379,19,23146
"43",422,19,32763
"44",450,19,6520
"45",486,19,1467
"46",682,19,8965
"47",715,19,30807
"48",837,19,1630
"49",893,19,1793
"50",1077,19,4075
"51",1350,19,652
"52",1433,19,1467
"53",1434,19,3749
"54",1436,19,6683
"55",1438,19,815
"56",1444,19,4564
"57",1459,19,489
"58",1522,19,3912
"59",1890,19,652
"60",2357,19,1141
"61",2581,19,3097
"62",2598,19,2608
"63",2726,19,2934
"64",2908,19,3097
"65",2932,19,2119
"66",2969,19,17278
"67",2995,19,815
"68",2998,19,815
"69",3002,19,815
"70",3003,19,815
"71",3496,19,1467
"72",3853,19,9128
"73",4798,19,978
"74",5043,19,3423
"75",5571,19,1793
"76",5955,19,2608
"77",6188,19,7172
"78",6385,19,1956
"79",6862,19,1630
"80",6865,19,978
"81",7668,19,1793
"82",8221,19,1467
"83",8275,19,1467
"84",8314,19,1467
"85",9334,19,1630
"86",9574,19,1304
"87",9694,19,1467
"88",11389,19,815
"89",14693,19,163
"90",19469,19,163
"91",20322,19,326
"92",20328,19,326
"93",22407,19,1467
"94",28510,19,489
"95",30135,19,652
"96",34746,19,489
"97",38896,19,652
"98",44113,19,489
"99",44117,19,1304
"100",51603,19,1630
"101",51604,19,1304
"102",51607,19,815
"103",62887,19,163
"104",74424,19,326
"105",75035,19,163
"106",75600,19,1141
"107",77690,19,652
"108",81055,19,815
"109",90132,19,489
"110",104014,19,489
"111",112161,19,652
"112",112912,19,815
"113",114562,19,652
"114",114565,19,652
"115",114566,19,652
"116",114567,19,652
"117",117547,19,815
"118",1,39,1176
"119",3,39,12908
"120",18,39,10220
"121",39,39,1260
"122",40,39,1694
"123",63,39,714
"124",257,39,7574
"125",357,39,294
"126",676,39,196
"127",8725,39,84
"128",17853,39,42
"129",27210,39,56
"130",69506,39,42
"131",3,65,20284
"132",5,65,2178
"133",14,65,30668
"134",18,65,16060
"135",66,65,770
"136",80,65,9196
"137",95,65,8756
"138",129,65,418
"139",130,65,6182
"140",339,65,3036
"141",598,65,1342
"142",609,65,2090
"143",671,65,1100
"144",1841,65,4114
"145",2946,65,528
"146",3840,65,198
"147",3893,65,1496
"148",6528,65,462
"149",12373,65,418
"150",2,93,3150
"151",3,93,161350
