"","sort.dbPriors."
".htaccess",1
".net",2
".net-2.0",3
".net-3.5",4
"64bit",5
"abap",6
"account",7
"actionscript-3",8
"active-directory",9
"activemq",10
"activerecord",11
"address-bar",12
"ado.net",13
"adobe",14
"adsl",15
"agile",16
"air",17
"aix",18
"ajax",19
"algorithm",20
"alt.net",21
"anchor",22
"animation",23
"annotations",24
"ansi",25
"ant",26
"aop",27
"apache",28
"api",29
"apple-touch-icon",30
"applet",31
"application",32
"application-advice",33
"application-integration",34
"aptana",35
"architecture",36
"archive",37
"arrays",38
"article",39
"artificial-intelligence",40
"ascii",41
"ase",42
"asmx",43
"asp-classic",44
"asp.net",45
"asp.net-ajax",46
"asp.net-mvc",47
"assemblies",48
"assembly",49
"audio",50
"audit",51
"authentication",52
"autoboxing",53
"autocomplete",54
"autoconf",55
"automake",56
"awk",57
"backup",58
"backwards-compatibility",59
"base64",60
"bash",61
"bayesian",62
"bcp",63
"bdd",64
"benchmarking",65
"berkeley-db",66
"beta",67
"big-o",68
"binary",69
"binary-log",70
"binding",71
"blob",72
"blogs",73
"books",74
"boot",75
"breaks",76
"browser",77
"buffer-overflow",78
"build-automation",79
"build-process",80
"business-logic-layer",81
"button",82
"c",83
"c#",84
"c++",85
"caching",86
"cairngorm",87
"captcha",88
"career-development",89
"casting",90
"caucho",91
"certification",92
"challenge",93
"charts",94
"checkbox",95
"chm",96
"cisvc",97
"cli",98
"clickonce",99
"client-scripting",100
"clipboard",101
"cloud",102
"clr",103
"cls",104
"cls-compliant",105
"cluster-analysis",106
"cmd",107
"cmdlets",108
"cmmi",109
"cocoa",110
"code",111
"code-completion",112
"code-coverage",113
"code-reuse",114
"code-review",115
"code-snippets",116
"coding",117
"coding-style",118
"coldfusion",119
"colemak",120
"collaboration",121
"collections",122
"color-space",123
"colors",124
"columns",125
"com",126
"com-interop",127
"command-line",128
"comments",129
"communities",130
"community-server",131
"compact-framework",132
"compatibility",133
"compiler",134
"compiz",135
