UserId,Chunk,ChunkHash,ChunkCount,ChunkType
1,c#,103,2,tag
1,datetime,270,2,tag
1,.net,321,1,tag
1,timespan,323,1,tag
2,c#,103,1,tag
2,linq,416,1,tag
2,query,417,1,tag
2,web-services,593,1,tag
2,.net-3.5,594,1,tag
2,mysql,598,1,tag
2,database,609,1,tag
2,sql-server,1685,1,tag
2,indexing,15414,1,tag
2,full-text-search,18980,1,tag
5,css,215,1,tag
5,asp.net,3754,1,tag
5,javascript,10198,1,tag
5,keyboard,13532,1,tag
5,ergonomics,30619,1,tag
5,rsi,30620,1,tag
8,c#,103,1,tag
9,html,221,2,tag
9,c#,103,1,tag
9,css,215,1,tag
9,internet-explorer-7,223,1,tag
9,conversion,227,1,tag
9,j#,256,1,tag
9,time,290,1,tag
9,browser,369,1,tag
9,timezone,371,1,tag
11,c#,103,1,tag
11,math,404,1,tag
13,language-agnostic,1273,2,tag
13,math,404,1,tag
13,pi,616,1,tag
13,performance,1271,1,tag
13,algorithm,1272,1,tag
13,unix,1274,1,tag
13,linux,3021,1,tag
13,fun,5564,1,tag
13,discussion,7821,1,tag
13,floating-point,19055,1,tag
13,icedtea,107797,1,tag
13,openjdk,107815,1,tag
13,java-7,107941,1,tag
15,mysql,598,6,tag
15,browser,369,3,tag
15,python,7730,3,tag
15,teamwork,57428,3,tag
15,language-agnostic,1273,2,tag
15,php,1279,2,tag
15,javascript,10198,2,tag
15,client-scripting,94567,2,tag
15,code,39,1,tag
15,c#,103,1,tag
15,.net,321,1,tag
15,query,417,1,tag
15,database,609,1,tag
15,update,1406,1,tag
15,sql-server,1685,1,tag
15,ruby,2322,1,tag
15,version-control,4983,1,tag
15,webbrowser,5136,1,tag
15,sqlite,6528,1,tag
15,deployment,6777,1,tag
15,podcast,7685,1,tag
15,discussion,7821,1,tag
15,ruby-on-rails,10171,1,tag
15,release-management,11886,1,tag
15,user-interface,12367,1,tag
15,keyboard,13532,1,tag
15,dvorak,13728,1,tag
15,productivity,13741,1,tag
15,postgresql,15007,1,tag
15,colemak,16518,1,tag
15,qwerty,16533,1,tag
15,dom,17362,1,tag
15,projects,20986,1,tag
15,regex,21387,1,tag
15,ergonomics,30619,1,tag
15,teaching,49243,1,tag
15,caching,51524,1,tag
15,groupwork,57429,1,tag
15,coding-style,57660,1,tag
15,diplomacy,57663,1,tag
15,breaks,69807,1,tag
15,mental-health,69808,1,tag
15,programming-languages,73940,1,tag
15,leader,79034,1,tag
15,project-planning,85710,1,tag
15,if-statement,98563,1,tag
17,.net,321,1,tag
17,linq,416,1,tag
17,.net-3.5,594,1,tag
17,language-agnostic,1273,1,tag
17,polls,11210,1,tag
17,powershell,11657,1,tag
17,cmdlets,39230,1,tag
17,crc32,128503,1,tag
22,flex,1580,2,tag
22,actionscript-3,1581,2,tag
22,mysql,598,1,tag
22,database,609,1,tag
22,triggers,1427,1,tag
22,air,2588,1,tag
23,c,19,1,tag
23,c++,1436,1,tag
23,sockets,1511,1,tag
23,mainframe,1512,1,tag
23,zos,1513,1,tag
25,ruby,2322,7,tag
25,c,19,1,tag
25,c#,103,1,tag
25,printf,837,1,tag
25,language-agnostic,1273,1,tag
25,unix,1274,1,tag
25,console,1691,1,tag
25,text,1989,1,tag
25,rdoc,2320,1,tag
25,linux,3021,1,tag
25,interop,3300,1,tag
25,editor,3461,1,tag
25,java,3846,1,tag
25,python,7730,1,tag
25,open-source,10967,1,tag
25,qt,12293,1,tag
25,encryption,13302,1,tag
25,bash,26510,1,tag
25,xfdl,27086,1,tag
25,compression,31444,1,tag
25,singleton,72518,1,tag
25,design-patterns,72573,1,tag
25,base64,108620,1,tag
25,gzip,108711,1,tag
25,qstring,126488,1,tag
26,flex,1580,7,tag
26,actionscript-3,1581,6,tag
26,air,2588,6,tag
26,osx,10245,2,tag
26,asp.net,3754,1,tag
26,sqlite,6528,1,tag
26,iis,11958,1,tag
26,obfuscation,38599,1,tag
27,visual-studio,7566,1,tag
27,continuous-integration,10979,1,tag
27,unit-testing,11368,1,tag
27,cruisecontrol.net,16170,1,tag
30,vb.net,93,1,tag
30,mysql,598,1,tag
30,database,609,1,tag
30,php,1279,1,tag
30,apache,4723,1,tag
30,visual-studio,7566,1,tag
30,python,7730,1,tag
30,installer,11447,1,tag
30,clickonce,55928,1,tag
32,datatable,413,1,tag
32,sql-server,1685,1,tag
33,vb.net,93,2,tag
33,c#,103,2,tag
33,.net,321,2,tag
33,memory,1531,1,tag
33,sql,1587,1,tag
